slug,generic_name,display_name,active_ingredient,salt,category,description,strengths,dosage_forms,routes,mechanism_of_action,pronunciation_en,key_suffix,verification_status
bilastine,Bilastine,Bilastine,Bilastine,Bilastine,Antihistamines,"A modern, highly selective, non-sedating second-generation H1-antihistamine with zero hepatic CYP metabolism and zero brain H1-receptor occupancy, used for allergic rhinitis and urticaria.",20 mg; 10 mg orally disintegrating tablet (ODT); 2.5 mg/mL oral solution,Film-coated Tablet; Orally Disintegrating Tablet; Oral Solution,Oral,"Potent, highly selective, and non-competitive peripheral histamine H1-receptor antagonist; completely lacks affinity for muscarinic, adrenergic, serotonergic, or other histamine receptor subtypes; substrate for P-glycoprotein efflux at the blood-brain barrier, resulting in near-zero brain H1-receptor occupancy.",bi-LAS-teen,-stine,verified
rupatadine,Rupatadine,Rupatadine Fumarate,Rupatadine fumarate,Rupatadine fumarate,Antihistamines,"A dual-action second-generation antihistamine and platelet-activating factor (PAF) receptor antagonist, providing superior relief of severe nasal congestion and allergic inflammation.",10 mg; 1 mg/mL oral solution,Tablet; Oral Solution,Oral,"Dual molecular mechanism: selectively blocks peripheral histamine H1 receptors AND antagonizes platelet-activating factor (PAF) receptors; PAF is a potent non-histamine mediator of mucosal edema, severe nasal congestion, bronchial hyperreactivity, and vascular hyperpermeability.",roo-pa-TA-deen,-tadine,verified
ebastine,Ebastine,Ebastine Film-Coated / Fast-Dissolving Tablets,Ebastine,Ebastine,Antihistamines,"A long-acting second-generation H1-receptor antagonist prodrug rapidly converted by CYP3A4 to active carebastine, providing 24-hour non-sedating relief of allergic rhinitis and chronic urticaria.","10 mg; 20 mg; 10 mg, 20 mg orally disintegrating tablets (Fast-Tab)",Film-coated Tablet; Orally Disintegrating Tablet,Oral,"Prodrug rapidly and almost completely converted in the liver by CYP3A4 to active carebastine; carebastine is a potent, long-acting, selective peripheral H1-receptor antagonist with negligible penetration into the central nervous system.",e-BAS-teen,-stine,verified
mizolastine,Mizolastine,Mizolastine Modified-Release Tablets,Mizolastine,Mizolastine,Antihistamines,"A dual-action second-generation H1-receptor antagonist and 5-lipoxygenase (5-LOX) inhibitor, combining antihistaminic and anti-leukotriene actions for allergic rhinitis and urticaria.",10 mg,Modified-Release Tablet,Oral,"Selectively and competitively blocks peripheral histamine H1 receptors; concurrently inhibits 5-lipoxygenase (5-LOX), suppressing the biosynthesis of inflammatory leukotrienes (LTB4, LTC4); also inhibits mast cell degranulation and ICAM-1 expression.",mye-ZOE-las-teen,-stine,verified
olopatadine,Olopatadine,Olopatadine Ophthalmic Solution / Nasal Spray,Olopatadine hydrochloride,Olopatadine hydrochloride,Antihistamines,"A dual-action mast cell stabilizer and selective H1-antihistamine, serving as the gold standard topical agent for allergic conjunctivitis and allergic rhinitis.",0.1% eye drops (Patanol - BID); 0.2% eye drops (Pataday - once daily); 0.7% eye drops (Pazeo - once daily); 0.6% nasal spray (Patanase),Ophthalmic Solution; Nasal Spray Solution,Ophthalmic; Intranasal,"Dual pharmacological action: selectively and competitively antagonizes histamine H1 receptors, AND stabilizes mast cell membranes, preventing antigen-induced degranulation and release of histamine, leukotrienes, and pro-inflammatory cytokines; inhibits human conjunctival epithelial cell cytokine release.",oh-loe-PAT-a-deen,-tadine,verified
azelastine,Azelastine,Azelastine Ophthalmic Solution / Nasal Spray,Azelastine hydrochloride,Azelastine hydrochloride,Antihistamines,"A fast-acting, second-generation topical H1-antihistamine and mast cell stabilizer that relieves nasal symptoms within 15 minutes, co-formulated with fluticasone propionate (Dymista) for severe allergic rhinitis.",0.1% nasal spray (137 mcg/spray); 0.15% nasal spray (205.5 mcg/spray); 0.05% eye drops,Nasal Spray Solution; Ophthalmic Solution,Intranasal; Ophthalmic,"Multiple anti-allergic actions: potent, competitive antagonist at peripheral histamine H1 receptors; stabilizes mast cell membranes, inhibiting antigen-triggered histamine release; down-regulates ICAM-1 expression and inhibits pro-inflammatory leukotriene and endothelin-1 generation.",a-ZEL-a-steen,-stine,verified
cloxacillin,Cloxacillin,Cloxacillin Sodium,Cloxacillin sodium,Cloxacillin sodium,Antibiotics,"A semi-synthetic penicillinase-resistant isoxazolyl penicillin active against penicillinase-producing staphylococci, used for MSSA skin, soft tissue, and respiratory tract infections.",250 mg; 500 mg; 250 mg vial; 500 mg vial,Capsule; Powder for Injection; Oral Solution,Oral; Intramuscular; Intravenous,"Binds to penicillin-binding proteins (PBPs), inhibiting the transpeptidation step of peptidoglycan synthesis; bulky isoxazolyl side chain prevents degradation by staphylococcal beta-lactamase.",klox-a-SIL-in,-cillin,verified
oxacillin,Oxacillin,Oxacillin Sodium,Oxacillin sodium,Oxacillin sodium,Antibiotics,"A parenteral penicillinase-resistant isoxazolyl penicillin indicated for severe systemic methicillin-susceptible Staphylococcus aureus (MSSA) infections including bacteremia, endocarditis, and osteomyelitis.",500 mg vial; 1 g vial; 2 g vial,Powder for Solution for Injection,Intramuscular; Intravenous,"Inhibits bacterial cell wall synthesis by binding to penicillin-binding proteins (PBPs), causing cell wall weakening and osmotic lysis; stable against staphylococcal beta-lactamases.",ox-a-SIL-in,-cillin,verified
benzathine-penicillin,Benzathine Penicillin G,Benzathine Penicillin G (Penicillin G Benzathine),Benzathine penicillin G,Benzathine penicillin G,Antibiotics,"An ultra-long-acting repository intramuscular penicillin that releases penicillin G over 3 to 4 weeks, serving as the global first-line curative therapy for syphilis and secondary prophylaxis of rheumatic fever.","600,000 units vial; 1,200,000 units (1.2 MU) vial; 2,400,000 units (2.4 MU) vial",Sterile Suspension for Deep IM Injection,Intramuscular,"Slowly releases penicillin G from the deep intramuscular depot; penicillin G binds to bacterial PBPs, inhibiting cross-linking of peptidoglycan chains, resulting in bacterial lysis.",BEN-za-theen pen-i-SIL-in,-cillin,verified
benzylpenicillin,Benzylpenicillin (Penicillin G Sodium/Potassium),Penicillin G Sodium / Potassium,Benzylpenicillin sodium,Benzylpenicillin sodium,Antibiotics,"A natural parenteral penicillin with high intrinsic potency against sensitive streptococci, Neisseria meningitidis, Treponema pallidum (neurosyphilis), and clostridial infections.","1,000,000 units (1 MU) vial; 5,000,000 units (5 MU) vial",Powder for Solution for Injection,Intravenous; Intramuscular,"Binds to penicillin-binding proteins (PBPs), inhibiting transpeptidase enzymes that cross-link peptidoglycan polymers in bacterial cell walls, triggering autolysins and osmotic cell death.",BEN-zil-pen-i-SIL-in,-cillin,verified
cefotetan,Cefotetan,Cefotetan Disodium,Cefotetan disodium,Cefotetan disodium,Antibiotics,"A second-generation cephamycin antibiotic with potent anaerobic activity against Bacteroides fragilis, used for surgical prophylaxis and mixed pelvic and intra-abdominal infections.",1 g vial; 2 g vial,Powder for Solution for Injection,Intravenous; Intramuscular,"Binds to penicillin-binding proteins (PBPs), inhibiting bacterial cell wall synthesis; 7-alpha-methoxy group on the beta-lactam ring confers extreme stability against beta-lactamases produced by anaerobic bacteria.",sef-oh-TEE-tan,-tetan,verified
cefoxitin,Cefoxitin,Cefoxitin Sodium,Cefoxitin sodium,Cefoxitin sodium,Antibiotics,"A classical parenteral cephamycin with high beta-lactamase resistance and anaerobic efficacy against Bacteroides fragilis, used for surgical prophylaxis and pelvic inflammatory disease.",1 g vial; 2 g vial,Powder for Solution for Injection,Intravenous; Intramuscular,"Binds to penicillin-binding proteins (PBPs), causing bacterial cell wall synthesis inhibition; 7-alpha-methoxy group provides extreme resistance to inactivation by Gram-negative and anaerobic beta-lactamases.",se-FOX-i-tin,-oxitin,verified
ketoprofen,Ketoprofen,Ketoprofen,Ketoprofen,Ketoprofen,Pain & Inflammation,"A propionic acid derivative NSAID with analgesic, anti-inflammatory and antipyretic actions, inhibiting COX enzymes and leukocyte migration.",50 mg; 100 mg; 200 mg SR; 2.5% gel,Capsule; SR Capsule; Gel; Injection,Oral; Topical; Intramuscular,"Reversible inhibition of cyclooxygenase enzymes (COX-1 and COX-2), thereby reducing prostaglandin synthesis; also exerts mild inhibition of lipoxygenase.",kee-toe-PROH-fen,-profen,verified
lornoxicam,Lornoxicam,Lornoxicam,Lornoxicam,Lornoxicam,Pain & Inflammation,"An oxicam-class NSAID with potent analgesic and anti-inflammatory properties, characterised by a relatively short elimination half-life.",4 mg; 8 mg; 8 mg injection,Tablet; Rapid-release Tablet; Powder for Injection,Oral; Intravenous; Intramuscular,"Potent balanced inhibitor of cyclooxygenase-1 and cyclooxygenase-2, suppressing prostaglandin biosynthesis and IL-6 release.",lor-NOX-i-kam,-oxicam,verified
dexketoprofen,Dexketoprofen,Dexketoprofen,Dexketoprofen trometamol,Dexketoprofen trometamol,Pain & Inflammation,The pharmacologically active (S)-(+)-enantiomer of ketoprofen formulated with trometamol for rapid absorption and analgesia at half the racemic dose.,25 mg; 50 mg/2 mL injection; 1.25% gel,Film-coated Tablet; Solution for Injection; Gel,Oral; Intramuscular; Intravenous; Topical,"Selective activation of analgesia by inhibiting prostaglandin synthesis through COX-1 and COX-2 blockade, with higher chiral potency than the racemic mixture.",dex-kee-toe-PROH-fen,-profen,verified
nabumetone,Nabumetone,Nabumetone,Nabumetone,Nabumetone,Pain & Inflammation,"A non-acidic prodrug NSAID that is metabolized in the liver to 6-methoxy-2-naphthylacetic acid (6-MNA), with reduced direct gastric mucosal toxicity.",500 mg; 750 mg; 1000 mg,Tablet,Oral,"Inactive prodrug converted in the liver to 6-MNA, which preferentially inhibits COX-2 over COX-1, reducing inflammatory prostaglandins.",na-BYOO-me-tone,,verified
sulindac,Sulindac,Sulindac,Sulindac,Sulindac,Pain & Inflammation,An indene derivative prodrug NSAID whose sulfide metabolite reversibly inhibits COX enzymes; historically noted for relative renal-sparing characteristics.,100 mg; 200 mg,Tablet,Oral,"Prodrug reduced in vivo to active sulindac sulfide, which inhibits COX-1 and COX-2; active metabolite undergoes enterohepatic circulation and renal oxidation back to inactive sulfoxide.",sul-IN-dak,,verified
roxithromycin,Roxithromycin,Roxithromycin,Roxithromycin,Roxithromycin,Antibiotics,"A semi-synthetic 14-membered ring macrolide antibiotic with high oral bioavailability and long half-life, used for respiratory, skin, and genital tract infections.",50 mg DT; 150 mg; 300 mg,Dispersible Tablet; Film-coated Tablet; Suspension,Oral,"Binds reversibly to the 50S subunit of bacterial 70S ribosomes, inhibiting translocation and peptide chain elongation, blocking bacterial protein synthesis.",rox-ith-roe-MYE-sin,-thromycin,verified
moxifloxacin,Moxifloxacin,Moxifloxacin,Moxifloxacin hydrochloride,Moxifloxacin hydrochloride,Antibiotics,"A fourth-generation 'respiratory' fluoroquinolone with enhanced Gram-positive, anaerobic, and atypical coverage, widely used for pneumonia, tuberculosis, and intra-abdominal infections.",400 mg; 400 mg/250 mL IV infusion; 0.5% eye drops,Film-coated Tablet; Solution for Infusion; Ophthalmic Solution,Oral; Intravenous; Ophthalmic,"Bactericidal dual-target inhibition of bacterial DNA gyrase (topoisomerase II) and topoisomerase IV, preventing DNA replication, transcription, and repair.",mox-i-FLOX-a-sin,-floxacin,verified
ofloxacin,Ofloxacin,Ofloxacin,Ofloxacin,Ofloxacin,Antibiotics,"A second-generation broad-spectrum fluoroquinolone widely utilized in India for gastrointestinal infections, enteric fever, and genitourinary tract infections.",100 mg DT; 200 mg; 400 mg; 200 mg/100 mL IV infusion; 0.3% eye/ear drops,Film-coated Tablet; Dispersible Tablet; IV Infusion; Ophthalmic/Otic Drops,Oral; Intravenous; Ophthalmic; Otic,"Bactericidal inhibition of DNA gyrase (topoisomerase II) and topoisomerase IV, halting bacterial chromosome supercoiling, transcription, and division.",oh-FLOX-a-sin,-floxacin,verified
norfloxacin,Norfloxacin,Norfloxacin,Norfloxacin,Norfloxacin,Antibiotics,"A synthetic fluoroquinolone that achieves very high concentrations in the urinary tract and gastrointestinal lumen with low systemic tissue levels, making it ideal for UTIs and bacterial diarrhoea.",100 mg; 200 mg; 400 mg; 0.3% eye/ear drops,Tablet; Ophthalmic/Otic Drops,Oral; Ophthalmic; Otic,"Inhibits bacterial DNA gyrase and topoisomerase IV, preventing DNA supercoiling, synthesis, and cell division.",nor-FLOX-a-sin,-floxacin,verified
faropenem,Faropenem,Faropenem,Faropenem sodium,Faropenem sodium,Antibiotics,"An orally bioavailable penem antibiotic with high stability against extended-spectrum beta-lactamases (ESBLs), used for resistant respiratory, ENT, and urinary tract infections.",150 mg; 200 mg; 300 mg; 100 mg DT,Film-coated Tablet; Dispersible Tablet; Dry Syrup,Oral,"Binds with high affinity to penicillin-binding proteins (PBPs), primarily PBP1A, 1B, 2, and 3, inhibiting peptidoglycan cell wall cross-linking and triggering autolysis.",fa-roe-PEN-em,-penem,verified
telithromycin,Telithromycin,Telithromycin,Telithromycin,Telithromycin,Antibiotics,"A semi-synthetic ketolide antibiotic derived from erythromycin, engineered to overcome macrolide resistance in Streptococcus pneumoniae.",400 mg; 800 mg,Film-coated Tablet,Oral,"Binds to two distinct domains (II and V) on the 23S rRNA of the bacterial 50S ribosomal subunit, maintaining high affinity even against MLSB-resistant strains.",tel-ith-roe-MYE-sin,-thromycin,verified
gemifloxacin,Gemifloxacin,Gemifloxacin,Gemifloxacin mesylate,Gemifloxacin mesylate,Antibiotics,"An advanced fluoroquinolone with potent dual-targeting against bacterial DNA gyrase and topoisomerase IV, specifically indicated for acute bacterial exacerbation of chronic bronchitis and mild-to-moderate CAP.",320 mg,Film-coated Tablet,Oral,"Inhibits both topoisomerase II (DNA gyrase) and topoisomerase IV, resulting in rapid bacterial DNA fragmentation and cell death.",jem-i-FLOX-a-sin,-floxacin,verified
teicoplanin,Teicoplanin,Teicoplanin,Teicoplanin,Teicoplanin,Antibiotics,"A glycopeptide antibiotic related to vancomycin with lower nephrotoxicity and red-man syndrome rates, administered once daily or via intramuscular injection for serious Gram-positive infections.",200 mg vial; 400 mg vial,Powder for Solution for Injection/Infusion,Intravenous; Intramuscular,"Inhibits cell wall peptidoglycan synthesis by binding tightly to the D-alanyl-D-alanine terminus of cell wall precursor pentapeptides, preventing polymerization.",tye-koe-PLAN-in,-planin,verified
cefotaxime,Cefotaxime,Cefotaxime,Cefotaxime sodium,Cefotaxime sodium,Antibiotics,"A parenteral third-generation cephalosporin with excellent cerebrospinal fluid penetration, widely used for neonatal sepsis, bacterial meningitis, and serious systemic infections.",250 mg; 500 mg; 1 g; 2 g vial,Powder for Injection,Intravenous; Intramuscular,"Binds to penicillin-binding proteins (PBPs), inhibiting bacterial peptidoglycan cell wall synthesis, resulting in cell wall lysis and bacterial death.",sef-oh-TAX-eem,-taxime,verified
cefepime,Cefepime,Cefepime,Cefepime hydrochloride,Cefepime hydrochloride,Antibiotics,"A fourth-generation parenteral cephalosporin with zwitterionic structure providing rapid penetration across outer bacterial membranes, highly active against Pseudomonas and Enterobacteriaceae.",500 mg; 1 g; 2 g vial,Powder for Injection,Intravenous; Intramuscular,"Binds to multiple penicillin-binding proteins (PBP2, PBP3, PBP1a/1b) inhibiting peptidoglycan synthesis; zwitterionic charge allows rapid diffusion through outer membrane porins.",SEF-e-peem,-pime,verified
ceftazidime,Ceftazidime,Ceftazidime,Ceftazidime pentahydrate,Ceftazidime pentahydrate,Antibiotics,"A third-generation parenteral cephalosporin with potent antipseudomonal activity, used for hospital-acquired infections, febrile neutropenia, and melioidosis.",500 mg; 1 g; 2 g vial,Powder for Injection,Intravenous; Intramuscular,"Binds to essential penicillin-binding proteins (PBP3), inhibiting peptidoglycan synthesis and producing filamentation and lysis of bacterial cells.",sef-TAZ-i-deem,-tazidime,verified
cefazolin,Cefazolin,Cefazolin,Cefazolin sodium,Cefazolin sodium,Antibiotics,"A first-generation parenteral cephalosporin with excellent activity against MSSA and Streptococcus, established worldwide as the gold standard for surgical antibiotic prophylaxis.",500 mg; 1 g; 2 g vial,Powder for Injection,Intravenous; Intramuscular,"Binds to bacterial penicillin-binding proteins (PBPs), inhibiting cross-linking of peptidoglycan in the cell wall, causing cell lysis.",sef-A-zoe-lin,-zolin,verified
cefadroxil,Cefadroxil,Cefadroxil,Cefadroxil monohydrate,Cefadroxil monohydrate,Antibiotics,"An oral first-generation cephalosporin with prolonged urinary and tissue persistence, used once or twice daily for skin, pharyngeal, and urinary tract infections.",125 mg DT; 250 mg DT; 500 mg; 1 g,Dispersible Tablet; Film-coated Tablet; Oral Suspension,Oral,"Bactericidal inhibition of cell wall synthesis by binding to penicillin-binding proteins (PBPs), halting peptidoglycan assembly.",sef-a-DROX-il,-droxil,verified
cefaclor,Cefaclor,Cefaclor,Cefaclor monohydrate,Cefaclor monohydrate,Antibiotics,"A second-generation oral cephalosporin with enhanced activity against Haemophilus influenzae and Moraxella catarrhalis, used for upper and lower respiratory infections.",125 mg DT; 250 mg; 375 mg ER; 500 mg,Capsule; Dispersible Tablet; Extended-Release Tablet; Oral Suspension,Oral,"Inhibits bacterial cell wall synthesis by binding to penicillin-binding proteins (PBPs), leading to bacterial lysis.",SEF-a-klor,-clor,verified
cefditoren,Cefditoren,Cefditoren Pivoxil,Cefditoren pivoxil,Cefditoren pivoxil,Antibiotics,An oral third-generation cephalosporin prodrug with enhanced affinity for penicillin-resistant Streptococcus pneumoniae and common respiratory pathogens.,200 mg; 400 mg,Film-coated Tablet,Oral,"Hydrolyzed by esterases during absorption to active cefditoren, which binds to PBPs and inhibits bacterial cell wall synthesis.",sef-DYE-tohr-en,-ditoren,verified
ampicillin-sulbactam,Ampicillin / Sulbactam,Ampicillin + Sulbactam,Ampicillin sodium and sulbactam sodium,Ampicillin sodium and sulbactam sodium,Antibiotics,"An injectable aminopenicillin combined with a beta-lactamase inhibitor, providing broad coverage against beta-lactamase producing organisms, anaerobes, and Acinetobacter baumannii.",750 mg; 1.5 g; 3 g vial,Powder for Injection,Intravenous; Intramuscular,Ampicillin inhibits bacterial cell wall synthesis; sulbactam irreversibly binds and inactivates beta-lactamases and has intrinsic bactericidal activity against Acinetobacter baumannii PBPs.,am-pi-SIL-in / sul-BAK-tam,-cillin / -bactam,verified
ceftolozane-tazobactam,Ceftolozane / Tazobactam,Ceftolozane + Tazobactam,Ceftolozane sulfate and tazobactam sodium,Ceftolozane sulfate and tazobactam sodium,Antibiotics,"An advanced antipseudomonal cephalosporin combined with a beta-lactamase inhibitor, engineered specifically to overcome multidrug-resistant Pseudomonas aeruginosa.",1.5 g vial (1 g ceftolozane / 0.5 g tazobactam); 3 g vial (2 g ceftolozane / 1 g tazobactam),Powder for Concentrate for Solution for Infusion,Intravenous,"Ceftolozane inhibits PBPs (PBP1b, PBP1c, PBP3) with high affinity and resistance to ampC hydrolysis and efflux pumps; tazobactam protects against most class A and class C beta-lactamases.",sef-TOE-loe-zane / taz-oh-BAK-tam,-tolozane,verified
ceftazidime-avibactam,Ceftazidime / Avibactam,Ceftazidime + Avibactam,Ceftazidime pentahydrate and avibactam sodium,Ceftazidime pentahydrate and avibactam sodium,Antibiotics,"A novel beta-lactam / non-beta-lactam diazabicyclooctane beta-lactamase inhibitor combination active against carbapenem-resistant Enterobacteriaceae (KPC, OXA-48).",2.5 g vial (2 g ceftazidime / 0.5 g avibactam),Powder for Concentrate for Solution for Infusion,Intravenous,"Ceftazidime inhibits cell wall synthesis; avibactam is a non-beta-lactam beta-lactamase inhibitor that reversibly inhibits Class A (KPC), Class C (AmpC), and some Class D (OXA-48) beta-lactamases via covalent carbamylation.",sef-TAZ-i-deem / AV-i-bak-tam,-tazidime / -avibactam,verified
colistin,Colistin,Colistin (Colistimethate Sodium),Colistimethate sodium (CMS),Colistimethate sodium,Antibiotics,"A polymyxin antibiotic prodrug acting as a cationic detergent against Gram-negative outer membranes, reserved for extensively drug-resistant (XDR) pathogens.",1 million IU (approx. 80 mg CMS); 2 million IU; 3 million IU vial; 4.5 million IU vial,Powder for Solution for Injection/Infusion or Inhalation,Intravenous; Inhalation,"Binds to lipopolysaccharide (LPS) and phospholipids in the outer cell membrane of Gram-negative bacteria, displacing calcium and magnesium, causing membrane disruption and leakage of intracellular contents.",koe-LIS-tin,-colistin,verified
polymyxin-b,Polymyxin B,Polymyxin B,Polymyxin B sulfate,Polymyxin B sulfate,Antibiotics,"An active polymyxin antibiotic administered directly as active drug (not a prodrug), preferred over colistin for systemic bloodstream infections due to predictable pharmacokinetics and lower renal dependency.","500,000 IU vial (approx. 50 mg)",Powder for Solution for Injection/Infusion,Intravenous; Ophthalmic; Topical,"Binds to anionic lipid A portion of LPS in bacterial outer membrane, destabilizing membrane integrity and causing osmotic leakage of cellular contents.",pol-i-MIX-in BEE,-myxin,verified
tigecycline,Tigecycline,Tigecycline,Tigecycline,Tigecycline,Antibiotics,"A first-in-class glycylcycline antibiotic overcoming classical tetracycline efflux and ribosomal protection mechanisms, used for complicated skin, soft tissue, and intra-abdominal infections.",50 mg vial,Powder for Solution for Infusion,Intravenous,"Binds reversibly to the 30S ribosomal subunit with 5 times higher affinity than minocycline, halting peptide chain growth and overcoming classical tetracycline efflux pumps and ribosomal protection proteins.",tye-ge-SYE-kleen,-cycline,verified
minocycline,Minocycline,Minocycline,Minocycline hydrochloride,Minocycline hydrochloride,Antibiotics,"A highly lipophilic second-generation tetracycline with excellent tissue and CNS penetration, widely used for moderate-to-severe acne vulgaris, MRSA skin infections, and multidrug-resistant Acinetobacter.",50 mg; 100 mg; 100 mg IV vial,Capsule; Tablet; Extended-Release Tablet; Powder for Injection,Oral; Intravenous,"Binds to the 30S ribosomal subunit, preventing entry of aminoacyl-tRNA into the ribosomal acceptor (A) site, inhibiting bacterial protein synthesis; also possesses anti-inflammatory and matrix metalloproteinase inhibitory properties.",min-oh-SYE-kleen,-cycline,verified
tobramycin,Tobramycin,Tobramycin,Tobramycin sulfate,Tobramycin sulfate,Antibiotics,"A potent aminoglycoside antibiotic with superior intrinsic activity against Pseudomonas aeruginosa compared to gentamicin, administered IV or via inhalation for cystic fibrosis.",20 mg/2 mL; 80 mg/2 mL vial; 300 mg/5 mL inhalation solution; 0.3% eye drops,Solution for Injection; Inhalation Solution; Ophthalmic Drops,Intravenous; Intramuscular; Inhalation; Ophthalmic,"Binds irreversibly to the bacterial 30S ribosomal subunit, causing misreading of genetic code and premature termination of peptide chain synthesis, leading to cell membrane damage and bactericidal death.",toe-bra-MYE-sin,-mycin,verified
netilmicin,Netilmicin,Netilmicin,Netilmicin sulfate,Netilmicin sulfate,Antibiotics,A semi-synthetic aminoglycoside antibiotic derived from sisomicin with resistance to several bacterial modifying enzymes and demonstrably lower ototoxicity than gentamicin.,25 mg/mL; 100 mg/mL; 300 mg/3 mL vial; 0.3% eye drops,Solution for Injection; Ophthalmic Solution,Intravenous; Intramuscular; Ophthalmic,"Binds irreversibly to the 30S bacterial ribosomal subunit, interfering with initiation complex formation and causing misreading of mRNA, leading to rapid bactericidal killing.",ne-til-MYE-sin,-micin,verified
kanamycin,Kanamycin,Kanamycin,Kanamycin sulfate,Kanamycin sulfate,Antibiotics,"An aminoglycoside antibiotic with bactericidal activity against aerobic Gram-negative bacilli and Mycobacterium tuberculosis, reserved for MDR-TB and serious hospital infections.",500 mg vial; 1 g vial,Powder for Injection; Solution for Injection,Intramuscular; Intravenous,"Binds irreversibly to the bacterial 30S ribosomal subunit, causing misreading of codons and inhibition of translocation, terminating bacterial protein synthesis.",kan-a-MYE-sin,-mycin,verified
chloramphenicol,Chloramphenicol,Chloramphenicol,Chloramphenicol sodium succinate,Chloramphenicol sodium succinate,Antibiotics,"A broad-spectrum classical antibiotic with excellent CSF penetration, reserved for life-threatening infections such as bacterial meningitis and rickettsial diseases when other options fail.",250 mg; 500 mg; 1 g vial; 0.5% eye drops; 1% eye ointment,Capsule; Powder for Injection; Ophthalmic Solution; Ophthalmic Ointment,Oral; Intravenous; Ophthalmic,"Binds reversibly to the 50S subunit of 70S bacterial ribosomes, inhibiting the peptidyl transferase reaction and preventing peptide bond formation.",klor-am-FEN-i-kol,-phenicol,verified
pristinamycin,Pristinamycin,Pristinamycin,Pristinamycin (mixture of pristinamycin IA and IIA),Pristinamycin,Antibiotics,"An oral streptogramin antibiotic consisting of a synergistic combination of two factors (IA and IIA), used for methicillin-resistant Staphylococcus aureus (MRSA) and refractory streptococcal infections.",250 mg; 500 mg,Film-coated Tablet,Oral,"Consists of pristinamycin IA (a macrolactone) and IIA (a polyunsaturated macrolactone) that bind sequentially to separate sites on the bacterial 50S ribosomal subunit; binding of IIA increases affinity for IA by 100-fold, transforming bacteriostatic action into bactericidal inhibition.",pris-tin-a-MYE-sin,-mycin,verified
tedizolid,Tedizolid,Tedizolid Phosphate,Tedizolid phosphate,Tedizolid phosphate,Antibiotics,"A second-generation oxazolidinone antibiotic 4 to 8 times more potent than linezolid, administered once daily for 6 days for acute bacterial skin and skin structure infections (ABSSSI).",200 mg; 200 mg IV vial,Film-coated Tablet; Lyophilized Powder for Injection,Oral; Intravenous,"Prodrug converted by plasma phosphatases to active tedizolid, which binds to the 23S rRNA of the 50S bacterial ribosomal subunit, inhibiting initiation complex formation and protein synthesis.",te-DIZ-oh-lid,-zolid,verified
dalbavancin,Dalbavancin,Dalbavancin,Dalbavancin hydrochloride,Dalbavancin hydrochloride,Antibiotics,"A second-generation lipoglycopeptide antibiotic with an ultra-long terminal half-life of 14 days, permitting complete therapy of acute bacterial skin infections in one or two doses.",500 mg vial,Lyophilized Powder for Solution for Infusion,Intravenous,"Binds to the D-alanyl-D-alanine terminus of growing bacterial peptidoglycan chains, blocking transglycosylation and transpeptidation; lipophilic side chain anchors to membrane, increasing potency.",dal-ba-VAN-sin,-vancin,verified
daptomycin,Daptomycin,Daptomycin,Daptomycin,Daptomycin,Antibiotics,"A cyclic lipopeptide bactericidal antibiotic that binds to and depolarizes bacterial cell membranes, used for MRSA bacteremia, right-sided infective endocarditis, and severe skin infections.",350 mg vial; 500 mg vial,Lyophilized Powder for Injection,Intravenous,"Binds in a calcium-dependent manner to bacterial cell membranes, oligomerizes, and inserts into the lipid bilayer, creating pores that cause rapid potassium ion efflux, membrane depolarization, and cessation of DNA, RNA, and protein synthesis without cell lysis.",DAP-toe-mye-sin,-mycin,verified
voriconazole,Voriconazole,Voriconazole,Voriconazole,Voriconazole,Antifungals,"A second-generation broad-spectrum triazole antifungal agent, established as the first-line treatment of choice for invasive aspergillosis.",50 mg; 200 mg; 200 mg IV vial,Film-coated Tablet; Powder for Solution for Infusion; Oral Suspension,Oral; Intravenous,"Inhibits fungal cytochrome P450-dependent 14-alpha-sterol demethylase, blocking the conversion of lanosterol to ergosterol, leading to accumulation of toxic 14-methylated sterols and fungal cell membrane lysis.",vor-i-KON-a-zole,-conazole,verified
posaconazole,Posaconazole,Posaconazole,Posaconazole,Posaconazole,Antifungals,"An extended-spectrum triazole antifungal with potent activity against Aspergillus, Candida, and Mucorales (zygomycetes), widely used for prophylaxis in hematological malignancy and salvage therapy.",100 mg delayed-release tablet; 300 mg/16.7 mL IV vial; 40 mg/mL oral suspension,Delayed-Release Tablet; Solution for Infusion; Oral Suspension,Oral; Intravenous,"Inhibits fungal lanosterol 14-alpha-demethylase, disrupting ergosterol synthesis and destabilizing the fungal cell membrane.",poe-sa-KON-a-zole,-conazole,verified
caspofungin,Caspofungin,Caspofungin,Caspofungin acetate,Caspofungin acetate,Antifungals,"A first-in-class parenteral echinocandin antifungal that inhibits fungal cell wall synthesis, used for invasive candidiasis, esophageal candidiasis, and salvage therapy for invasive aspergillosis.",50 mg vial; 70 mg vial,Lyophilized Powder for Solution for Infusion,Intravenous,"Non-competitively inhibits beta-(1,3)-D-glucan synthase, an enzyme absent in mammalian cells, preventing synthesis of beta-(1,3)-D-glucan in the fungal cell wall, causing osmotic fragility and lysis.",kas-poe-FUN-jin,-fungin,verified
